Name;stellar radius
HD 082668;48.0
HD 083183;18.0
HD 086118;4.3
HD 092287;7.1
HD 092740;36.0
HD 092964;61.0
HD 093131;37.0
HD 093194;3.4
HD 096919;93.0
HD 097670;7.1
HD 100841;5.5
HD 102776;3.9
HD 103884;3.9
HD 105937;3.8
HD 106490;8.0
HD 106849;23.0
HD 108483;4.5
HD 109026;4.6
HD 109668;4.8
HD 112078;3.4
HD 112985;16.0
HD 114911;2.6
HD 120640;6.6
HD 121263;6.9
HD 128620;1.3
HD 128898;2.1
HD 134687;7.1
HD 136664;3.4
HD 142669;5.0
HD 143118;6.7
HD 143275;200.0
HD 144217;7.9
HD 144294;4.5
HD 148478;510.0
HD 149038;32.0
HD 149438;6.7
HD 155203;1.6
HD 157056;6.9
HD 157243;3.5
HD 157244;310.0
HD 158408;33.0
HD 158427;6.7
HD 158926;7.0
HD 159532;40.0
HD 160578;7.5
HD 161471;400.0
HD 161892;14.0
HD 162374;3.5
HD 164975;110.0
HD 165024;20.0
HD 165135;12.0
HD 166937;83.0
HD 167264;32.0
HD 168454;16.0
HD 169467;7.1
HD 169916;16.0
HD 174638;49.0
HD 175191;4.5
HD 175588;54.0
HD 176437;7.2
HD 177716;14.0
HD 178475;4.4
HD 180163;7.3
HD 182255;5.6
HD 182568;5.6
HD 183056;3.9
HD 183912;16.0
HD 184171;5.6
HD 186882;4.81
HD 187879;20.0
HD 188209;21.0
HD 188892;5.6
HD 189178;3.4
HD 189687;3.9
HD 191610;3.9
HD 192987;5.0
HD 193322;10.0
HD 194093;31.0
HD 194335;4.5
HD 195556;8.3
HD 197345;140.0
HD 197989;15.0
HD 198084;2.0
HD 198183;3.6
HD 198726;55.0
HD 199081;3.4
HD 202109;54.0
HD 203064;14.0
HD 203280;2.2
HD 206672;6.3
HD 206778;26.0
HD 207330;7.1
HD 207563;3.9
HD 209008;7.1
HD 209975;17.0
HD 210129;3.1
HD 210745;230.0
HD 212076;4.5
HD 213306;60.0
HD 213420;7.8
HD 214923;2.7
HD 217675;6.6
HD 217891;3.1
HD 218045;3.1
HD 221253;7.1
HD 222404;8.2
HD 224572;5.4
HD 002083;14.86
HD 022920;2.39
HD 027256;12.59
HD 029305;2.37
HD 032990;3.93
HD 035708;1.39
HD 036653;3.0
HD 036861;1.9
HD 037022;16.24
HD 037043;5.77
HD 038622;9.75
HD 042933;14.28
HD 045871;1.43
HD 046328;2.27
HD 049131;3.35
HD 052670;13.3
HD 052877;141.43
HD 054309;3.51
HD 056014;5.06
HD 058155;12.5
HD 058286;12.66
HD 059717;28.1
HD 061068;2.01
HD 063922;2.36
HD 063949;10.29
HD 068243;21.56
HD 069144;13.29
HD 074375;2.41
HD 078647;101.51
HD 083446;2.1
HD 086440;15.34
HD 088661;2.59
HD 089890;7.41
HD 090966;4.69
HD 093030;6.26
HD 093308;
HD 105435;2.46
HD 106983;0.98
HD 107446;23.84
HD 108248;8.18
HD 108903;28.43
HD 110304;5.41
HD 110879;1.67
HD 111123;1.82
HD 112092;1.01
HD 112244;41.06
HD 113791;7.74
HD 113904;54.63
HD 118716;1.96
HD 122451;3.88
HD 122532;1.72
HD 133955;15.23
HD 145482;6.94
HD 149404;78.74
HD 157042;1.57
HD 167618;25.1
HD 168733;1.94
HD 169022;6.39
HD 171034;4.61
HD 172910;5.87
HD 173607;2.21
HD 175362;1.28
HD 176687;3.23
HD 188252;22.75
HD 190429;0.92
HD 192685;3.01
HD 197511;4.3
HD 200310;11.85
HD 206267;1.5
HD 209790;2.58
HD 211924;5.18
HD 213973;3.11
HD 214168;1.63
HD 216916;1.78
HD 225289;2.42
HD 030652;2.5
HD 074071;3.2
HD 056456;3.51579
HD 071935;3.04036
HD 074753;
